Field=Comment~String~Comment~150|Field=Description~String~Description~269|Field=Designator~String~Designator~160|Field=Footprint~String~Footprint~85|Field=Quantity~Integer~Quantity~86|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SFCMasterD.PrjPCB|ReportField=ProjectFullPath~E:\SFC\SFCHW\SFCMasterD\SFCMasterD.PrjPCB|ReportField=Title~Bill of Materials For Project [SFCMasterD.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~329|ReportField=ReportTime~15:15:14|ReportField=ReportDate~2015/11/19|ReportField=ReportDateTime~2015/11/19 15:15:14|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~JACK|ReportField=CheckedBy~|ReportField=CompanyName~北京康洁之晨水处理技术有限公司|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2015/11/19|ReportField=CurrentTime~15:11:26|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\SFC\SFCHW\SFCMasterD\drvamap.SchDoc|ReportField=DocumentName~drvamap.SchDoc|ReportField=DocumentNumber~6|ReportField=DrawnBy~郭相炳|ReportField=Engineer~|ReportField=ImagePath~E:\JKAdoc\data\LOGO.jpg|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2015/9/15|ReportField=Organization~北京康洁|ReportField=ProjectName~SFCMasterD.PrjPCB|ReportField=Revision~2.0|ReportField=Rule~|ReportField=SheetNumber~6|ReportField=SheetTotal~6|ReportField=Time~|ReportField=Title~JKA 2.0 原理图|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~SFCMasterD.PrjPCB|ReportField=DataSourceFullPath~E:\SFC\SFCHW\SFCMasterD\SFCMasterD.PrjPCB
0.1uF|Capacitor|C1, C2, C4, C5, C6, C7, C9, C10, C11, C12, C18, C20, C26, C28, C31, C34, C35, C38, C40, C41, C42, C44|CAPC2012M|22
10uF|Capacitor|C3, C16|CAPC2012M|2
0.01uF|Capacitor|C13, C15, C17, C21, C27, C36|CAPC2012M|6
220uF/6.3V|Polarized Capacitor (Radial)|C14|CAPC3528MS|1
1nF|Capacitor|C19, C23|CAPC2012M|2
470pF|Capacitor|C22|CAPC2012M|1
20pF|Capacitor|C24, C25, C29, C30, C32, C33|CAPC2012M|6
HR911105A||CN1|HR911105A(RJ-45)|1
SMB24CA|Bi-dir TVS Diode|D2, D3, D4, D5, D6, D7, D8|SMB|7
SMBJ440CA|Bi-dir TVS Diode|D9, D11, D13, D15, D17, D19, D21, D25, D27, D29, D31|SMB|11
LL4148|1 Amp General Purpose Rectifier|D10, D12, D14, D16, D18, D20, D22, D24, D26, D28, D30, D32|CD3216-1206|12
SMJ440CA|Bi-dir TVS Diode|D23|SMB|1
SMB5.1CA|Bi-dir TVS Diode|D33, D34|SMB|2
Header 3|Header, 3-Pin|DP1|HDR1X3|1
Green|Green LED,Output indicate.|DPNT, LED1, LED2|CD2012-0805|3
D Connector 9B|Receptacle Assembly, 9 Position, Upright|J1|DSUB1.385-2H9BL|1
JP_CAN|'Dial Switch pitch 7.62mm|J2|DS-01|1
JZC-49FA/024-1H1(555)|Intermediate  Power  Relay|K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, K11, K12|JZC-49FA|12
Inductor Iron|Magnetic-Core Inductor|L2|CAPPR5-8x8A|1
CBW321609U101T|EMI FILTERS,DC Resistance max.0.05~1.5 ohms,10 ~ 1000 ohms at 100MHz  Frequency|LR1, LR3, LR4, LR5, LR6, LR7, LR8, LR9, LR10, LR11, LR12, LR13, LR14, LR15|INDC3216M|14
