Removed Pin From Net: NetName=12V Pin=C16-1
Removed Pin From Net: NetName=GND Pin=C16-2
Removed Pin From Net: NetName=VSSA Pin=C17-1
Removed Pin From Net: NetName=VDDA Pin=C17-2
Removed Pin From Net: NetName=VSSA Pin=C18-1
Removed Pin From Net: NetName=VDDA Pin=C18-2
Removed Pin From Net: NetName=VSSA Pin=C19-1
Removed Pin From Net: NetName=VREF Pin=C19-2
Removed Pin From Net: NetName=VSSA Pin=C20-1
Removed Pin From Net: NetName=VREF Pin=C20-2
Removed Pin From Net: NetName=VBAT Pin=C21-1
Removed Pin From Net: NetName=GND Pin=C21-2
Removed Pin From Net: NetName=3.3V Pin=C22-2
Removed Pin From Net: NetName=RCC_OSC_IN Pin=C23-1
Removed Pin From Net: NetName=GND Pin=C23-2
Removed Pin From Net: NetName=GND Pin=C42-1
Removed Pin From Net: NetName=3.3V Pin=C42-2
Removed Pin From Net: NetName=GND Pin=C43-1
Removed Pin From Net: NetName=3.3V Pin=C43-2
Removed Pin From Net: NetName=GND Pin=C44-1
Removed Pin From Net: NetName=12V Pin=C44-2
Removed Pin From Net: NetName=GND Pin=C45-1
Removed Pin From Net: NetName=12V Pin=C45-2
Removed Pin From Net: NetName=GND Pin=C46-1
Removed Pin From Net: NetName=5V Pin=C46-2
Removed Pin From Net: NetName=GND Pin=C47-1
Removed Pin From Net: NetName=5V Pin=C47-2
Removed Pin From Net: NetName=GND Pin=C48-1
Removed Pin From Net: NetName=12V Pin=C48-2
Removed Pin From Net: NetName=GND Pin=C49-1
Removed Pin From Net: NetName=12V Pin=C49-2
Removed Pin From Net: NetName=GND Pin=U8-1
Removed Pin From Net: NetName=5V Pin=U8-2
Removed Pin From Net: NetName=12V Pin=U8-3
Change Component DesignItemId : Designator=U3 Old DesignItemId=MAX811-EUS-T New DesignItemId=LM1117T-5.0
Change Component DesignItemId : Designator=U2 Old DesignItemId=REF3330 New DesignItemId=LM1117T-5.0
Change Component Footprint: Designator=U2 Old Footprint=SOT23_M New Footprint=SOT-223
Change Component Footprint: Designator=U3 Old Footprint=SOT-143_N New Footprint=SOT-223
Change Component Comment : Designator=C16 Old Comment=0.1uF New Comment=10uF
Change Component Comment : Designator=C22 Old Comment=0.1uF New Comment=10uF
Change Component Comment : Designator=C18 Old Comment=1uF New Comment=10uF
Change Component Comment : Designator=C20 Old Comment=1uF New Comment=10uF
Change Component Comment : Designator=C23 Old Comment=20pF New Comment=0.1uF
Change Component Comment : Designator=U3 Old Comment=MIC811TU New Comment=ASM1117-5.0
Change Component Comment : Designator=U2 Old Comment=REF3025 New Comment=ASM1117-3.3
Change Component Designator: OldDesignator=C24 NewDesignator=C33
Change Component Designator: OldDesignator=C25 NewDesignator=C34
Change Component Designator: OldDesignator=C26 NewDesignator=C35
Change Component Designator: OldDesignator=C27 NewDesignator=C36
Change Component Designator: OldDesignator=C28 NewDesignator=C37
Change Component Designator: OldDesignator=C29 NewDesignator=C38
Change Component Designator: OldDesignator=C30 NewDesignator=C39
Change Component Designator: OldDesignator=C31 NewDesignator=C40
Change Component Designator: OldDesignator=C32 NewDesignator=C41
Change Component Designator: OldDesignator=C33 NewDesignator=C42
Change Component Designator: OldDesignator=C34 NewDesignator=C43
Change Component Designator: OldDesignator=C35 NewDesignator=C44
Change Component Designator: OldDesignator=C36 NewDesignator=C45
Change Component Designator: OldDesignator=C37 NewDesignator=C46
Change Component Designator: OldDesignator=C38 NewDesignator=C47
Change Component Designator: OldDesignator=C69 NewDesignator=C26
Change Component Designator: OldDesignator=D5 NewDesignator=D4
Change Component Designator: OldDesignator=D6 NewDesignator=D5
Change Component Designator: OldDesignator=D7 NewDesignator=D6
Change Component Designator: OldDesignator=D8 NewDesignator=D7
Change Component Designator: OldDesignator=D9 NewDesignator=D8
Change Component Designator: OldDesignator=D10 NewDesignator=D9
Change Component Designator: OldDesignator=D11 NewDesignator=D10
Change Component Designator: OldDesignator=D12 NewDesignator=D11
Change Component Designator: OldDesignator=D13 NewDesignator=D12
Change Component Designator: OldDesignator=D14 NewDesignator=D13
Change Component Designator: OldDesignator=D15 NewDesignator=D14
Change Component Designator: OldDesignator=D16 NewDesignator=D15
Change Component Designator: OldDesignator=D17 NewDesignator=D16
Change Component Designator: OldDesignator=D18 NewDesignator=D17
Change Component Designator: OldDesignator=D19 NewDesignator=D18
Change Component Designator: OldDesignator=D20 NewDesignator=D19
Change Component Designator: OldDesignator=D21 NewDesignator=D20
Change Component Designator: OldDesignator=D22 NewDesignator=D21
Change Component Designator: OldDesignator=D23 NewDesignator=D22
Change Component Designator: OldDesignator=D24 NewDesignator=D23
Change Component Designator: OldDesignator=D25 NewDesignator=D24
Change Component Designator: OldDesignator=P4 NewDesignator=P5
Change Component Designator: OldDesignator=P5 NewDesignator=P6
Change Component Designator: OldDesignator=P6 NewDesignator=P7
Change Component Designator: OldDesignator=P7 NewDesignator=P8
Change Component Designator: OldDesignator=P10 NewDesignator=P4
Change Component Designator: OldDesignator=Q5 NewDesignator=Q4
Change Component Designator: OldDesignator=Q6 NewDesignator=Q5
Change Component Designator: OldDesignator=Q7 NewDesignator=Q6
Change Component Designator: OldDesignator=Q8 NewDesignator=Q7
Change Component Designator: OldDesignator=Q9 NewDesignator=Q8
Change Component Designator: OldDesignator=Q10 NewDesignator=Q9
